index,emoji,text
0,💦,滴
1,🍔,堡
2,🐷,猪
3,🎨,话
4,🧵,线
5,😅,汗
6,🔒,锁
7,🦀,蟹
8,💢,怒
9,📕,叔
10,🉐,得
11,🔟,十
12,🍺,啤
13,📉,降
14,😊,笑
15,🏃,跑
16,🌊,浪
17,⛵,船
18,🐮,牛
19,⬆,上
20,😂,乐
21,😭,哭
22,🐢,龟
23,♂,男
24,👃,鼻
25,💩,屎
26,🙁,厌
27,🈷,月
28,♀,女
29,😜,乐
30,🥺,看
31,📝,绩
32,🈵,满
33,❤,爱
34,👴,爷
35,🎵,音
36,🔪,刃
37,🤔,看
38,🈹,割
39,⭕,原
40,🌚,恶
41,😱,惊
42,✊,拳
43,😎,酷
44,😄,笑
45,🐫,牠
46,😍,色
47,🍚,饭
49,👊,拳
50,🥰,爱
51,🐔,鸡
52,😸,笑
53,🥜,花生
54,🈳,空
55,🌧,雨
56,😡,怒
57,👌,好
58,🧗,爬
59,💊,药
60,👀,看
61,♨,蒸
62,🐦,鸟
63,⛰,山
64,🚬,烟
65,😲,哦
66,😐,嗯
67,💤,困
68,😓,烦
69,🎁,礼
70,👋,不
71,🧠,智
72,😨,惊
73,🐶,狗
74,😑,哦
75,⌛,沙
76,⭐,星
77,🔧,修
78,😆,乐
79,👨,男
80,🤡,丑
81,🌶,辣
82,🐵,猴
83,🤣,乐
84,🐰,兔
85,🕊,鸽
86,🤭,笑
87,👅,舔
88,➖,减
89,🎱,八
90,😞,唉
91,⬇,下
92,💪,强
93,😢,哭
94,♠,黑桃
95,✌,耶
96,🍉,瓜
97,🧼,皂
98,💀,死
99,🐑,羊
100,🦈,鲨
101,👻,鬼
102,🧹,扫
103,📏,尺
104,😠,怒
105,🐲,龙
106,💄,红
107,🐙,章
108,🈶,有
109,🧦,袜
110,🆒,酷
111,👍,好
112,✉,信
113,🦶,足
114,🀄,中
115,🙏,谢谢
116,🙂,笑
117,⌚,表
118,🔥,火
119,🤝,友
120,😕,哼
121,📦,包
122,🖊,笔
123,😁,笑
124,🐛,虫
125,🐴,马
126,🐭,鼠
127,😷,恶心
128,📄,纸
129,🐻,熊
130,🐱,猫
131,🦋,蝶
132,⁉,?
133,👩,女
134,🈸,申
135,➗,除
136,㊗,祝
